expression,reading,eng_meaning,chi_meaning,level,guid
作法,さほう,"manners, etiquette, propriety",禮儀、舉止、得體,N3,HYeQ[!t+v+
様々,さまざま,"varied, various",各種各樣的,N3,l>?/o{CjV<
冷ます,さます,"to cool, to let cool",冷卻，讓其冷卻,N3,m(o0n4^}Z$
覚ます,さます,to awaken,喚醒,N3,t9@aJ[u<UZ
冷める,さめる,"to become cool, to wear off",變得涼爽，褪色,N3,LR.A;82:W|
覚める,さめる,"to wake, to wake up",醒來，醒來,N3,Dob+O4(+<L
左右,さゆう,left and right; influence,左右；影響,N3,d8br}6f4&T
皿,さら,"plate, dish",盤子，碟子,N3,p*f@mDk_ih
更に,さらに,"furthermore, moreover",此外，而且,N3,n=YLy+|9V>
去る,さる,"to leave, to go away",離開，走開,N3,q:@^dVE|Ux
猿,さる,monkey,猴,N3,I;FmV}C|Mm
騒ぎ,さわぎ,"uproar, disturbance",騷動，騷亂,N3,"b-,^J/-<a("
参加,さんか,participation,參與,N3,NJ??D?6U!^
参考,さんこう,"reference, consultation",參考資料、諮詢,N3,Han8<B?^r0
賛成,さんせい,"approval, agreement",批准、協議,N3,"emfZ/!E,?["
酸性,さんせい,acidity,酸度,N3,geVhjMXt@#
酸素,さんそ,oxygen,氧,N3,DM##q[%RFu
氏,し,"family name, lineage",姓氏，世系,N3,LAOK_nHPS/
詩,し,poem; poetry,詩；詩歌,N3,PI;rr><.*1
幸せ,しあわせ,"happiness, blessing",幸福，祝福,N3,MYpn~@*11o
ジーンズ,ジーンズ,jeans,牛仔褲,N3,o3hhzYEH)l
ジェット機,ジェットき,jet plane,噴射機,N3,fS!]EX&j7m
四角,しかく,square,方塊,N3,J[L(f7xE~B
直に,じかに,"immediately, readily, directly",立即、迅速、直接,N3,"Gui,0]IdY5"
しかも,しかも,"moreover, furthermore, besides, plus",此外，而且，另外，加上,N3,NW!O~u6B#]
四季,しき,four seasons,四季,N3,j=w0weSQi)
直,じき,"immediately, soon, shortly",立即、很快、不久,N3,wd?tx<3Bac
時期,じき,"time, season, period",時間、季節、時期,N3,DJ<W>Fb$j>
支給,しきゅう,"payment, allowance",付款、津貼,N3,MpCDrKuR@c
至急,しきゅう,"urgent, pressing",緊急、緊迫,N3,"K+,ttKQ<dz"
しきりに,しきりに,"frequently, repeatedly, eagerly",經常地、反覆地、熱切地,N3,E|Rw@W(/Em
刺激,しげき,"stimulus, impetus, incentive",刺激、動力、激勵,N3,PD*^rLK60i
資源,しげん,resources,資源,N3,m(PG+T&|gr
事件,じけん,"event, affair, incident",事件、事、事故,N3,MbFCnlA+g8
時刻,じこく,"time, hour",時間，小時,N3,"oN.E,s)Z}n"
自殺,じさつ,suicide,自殺,N3,y#JDw}f8E1
事実,じじつ,"fact, truth, reality",事實、真相、現實,N3,qUB-Jtt?i`
支出,ししゅつ,"expenditure, expenses",支出、費用,N3,PrmuroD(_w
事情,じじょう,"circumstances, situation, reasons",環境、情況、原因,N3,B&D.VmCJRe
詩人,しじん,poet,詩人,N3,J|*bb(L^Qr
自身,じしん,oneself,自己,N3,Mms_kL$qBA
沈む,しずむ,to sink; to feel depressed,沉淪；感到沮喪,N3,v(wY-5e=dv
自然,しぜん,"nature, spontaneous",自然，自發性,N3,K#D]Lme)]J
思想,しそう,"thought, idea",想法，念頭,N3,"udM,dvR}EZ"
舌,した,tongue,舌頭,N3,i22E-x*lSS
次第,しだい,order; circumstances; immediate(ly),命令；情況；立即,N3,m7IQESq>:Z
従う,したがう,"to abide (by the rules), to obey",遵守（規則），服從,N3,jQOK[Z2G2a
したがって,したがって,"therefore, consequently",因此，結果,N3,zE+XZL-yO%
親しい,したしい,"intimate, close (e.g., friend)",親密的，關係親近的（例如，朋友）,N3,JLb1]#eUH.
質,しつ,"quality, nature (of person)",品質，性格（指人）,N3,i9bGgE8&)u
失業,しつぎょう,unemployment,失業,N3,L*e(K1S8y>
